Laptop Adı,Fiyat,İnç,RAM,İşlemci,Puan
HP Victus Gaming 16-r1077nt (VCS9J278EA17),220059.54,16.1,64.0,0,93.0
HP Victus Gaming 16-r1077nt (VCS9J278EA17),220059.54,16.1,64.0,0,93.0
Lenovo Legion 5 Pro 882WK00J5TX32,159628.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX32,159628.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX32,159628.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX32,159628.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX32,159628.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX48,159721.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX48,159721.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX48,159721.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX48,159721.0,16.0,96.0,2,89.0
Lenovo Legion 5 Pro 882WK00J5TX48,159721.0,16.0,96.0,2,89.0
Lenovo Legion 9 83AG000NTR,167563.0,16.0,64.0,3,90.0
Lenovo Legion 9 83AG000NTR,167563.0,16.0,64.0,3,90.0
Lenovo Legion 9 83AG000NTR,167563.0,16.0,64.0,3,90.0
Lenovo Legion 9 83AG000NTR,167563.0,16.0,64.0,3,90.0
Lenovo Legion 9 83AG000NTR,167563.0,16.0,64.0,3,90.0
Lenovo Legion 9 83G00010TR,173399.0,16.0,64.0,4,88.0
Lenovo Legion 9 83G00010TR,173399.0,16.0,64.0,4,88.0
Lenovo Legion 9 83G00010TR,173399.0,16.0,64.0,4,88.0
Lenovo Legion 9 83G00010TR,173399.0,16.0,64.0,4,88.0
Lenovo Legion 9 83G00010TR,173399.0,16.0,64.0,4,88.0
Lenovo Legion Pro 7 L83DE002WTRWP10,171763.0,16.0,48.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP10,171763.0,16.0,48.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP10,171763.0,16.0,48.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP10,171763.0,16.0,48.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP10,171763.0,16.0,48.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP15,191834.0,16.0,64.0,4,91.0
Lenovo Legion Pro 7 L83DE002WTRWP15,191834.0,16.0,64.0,4,91.0
Lenovo Legion Pro 7 L83DE002WTRWP15,191834.0,16.0,64.0,4,91.0
Lenovo Legion Pro 7 L83DE002WTRWP15,191834.0,16.0,64.0,4,91.0
Lenovo Legion Pro 7 L83DE002WTRWP15,191834.0,16.0,64.0,4,91.0
Lenovo Legion Pro 7 L83DE002WTRWP17,54609.0,16.0,80.0,4,88.0
Lenovo Legion Pro 7 L83DE002WTRWP17,54609.0,16.0,80.0,4,88.0
Lenovo Legion Pro 7 L83DE002WTRWP17,54609.0,16.0,80.0,4,88.0
Lenovo Legion Pro 7 L83DE002WTRWP17,54609.0,16.0,80.0,4,88.0
